State abbreviation, State name, Less than a high school diploma (2012-2016), High school diploma only (2012-2016), Some college or associate's degree (2012-2016), Bachelor's degree or higher (2012-2016), Percent of adults with less than a high school diploma (2012-2016), Percent of adults with a high school diploma only (2012-2016), Percent of adults completing some college or associate's degree (2012-2016), Percent of adults with a bachelor's degree or higher (2012-2016), Mean Household Income, Mean Non-Household Income, Mean Total Income, Median Household Income, Median Non-Household Income, Median Total Income, Democratic votes, GOP votes

Alabama, AL, 496036, 1009593, 972703, 783076, 15.2, 31.0, 29.8, 24.0, 77153, 37211, 63400, 59115, 25860, 46213, 718084, 1306925
Alaska, AK, 36032, 130511, 168631, 135525, 7.7, 27.7, 35.8, 28.8, 105989, 61558, 92211, 88949, 47163, 74733, 93003, 130413
Arizona, AZ, 611243, 1078358, 1509609, 1241425, 13.8, 24.3, 34.0, 28.0, 84851, 48465, 72140, 63812, 34941, 53624, 936250, 1021154
Arkansas, AR, 292228, 683886, 573031, 424446, 14.8, 34.7, 29.0, 21.5, 72907, 35088, 58999, 54923, 24493, 43335, 378729, 677904
California, CA, 4572963, 5260904, 7544058, 8176487, 17.9, 20.6, 29.5, 32.0, 106970, 63528, 91202, 76975, 43674, 65653, 7362490, 3916209
Colorado, CO, 323691, 780033, 1096896, 1389730, 9.0, 21.7, 30.6, 38.7, 104091, 52838, 83324, 80654, 39046, 62294, 1212209, 1137455
Connecticut, CT, 242932, 673220, 611658, 938319, 9.9, 27.3, 24.8, 38.0, 127991, 59017, 103809, 93800, 41966, 74382, 884432, 668266
Delaware, DE, 71746, 199461, 174387, 195321, 11.2, 31.1, 27.2, 30.5, 97654, 51991, 82846, 76346, 39205, 64179, 33347, 36989
Florida, FL, 1807386, 4111029, 4245476, 3929796, 12.8, 29.2, 30.1, 27.9, 85154, 46743, 71237, 61442, 32576, 50572, 4485745, 4605515
Georgia, GA, 932810, 1850601, 1867961, 1938090, 14.2, 28.1, 28.3, 29.4, 86636, 46071, 72370, 64053, 32678, 52942, 1837300, 2068623
Hawaii, HI, 84943, 270583, 312218, 305201, 8.7, 27.8, 32.1, 31.4, 107549, 56948, 90347, 87024, 43348, 72166, 266827, 128815
Idaho, ID, 105170, 289085, 378367, 274984, 10.0, 27.6, 36.1, 26.2, 78948, 39862, 64150, 62196, 28949, 50271, 189677, 407199
Illinois, IL, 1008608, 2287126, 2487681, 2834869, 11.7, 26.5, 28.9, 32.9, 101360, 51666, 82536, 76533, 36129, 60746, 2977498, 2118179
Indiana, IN, 517458, 1486051, 1268116, 1068062, 11.9, 34.2, 29.2, 24.6, 82057, 40595, 67082, 65227, 30267, 51694, 1031953, 1556220
Iowa, IA, 169966, 656680, 672763, 559431, 8.3, 31.9, 32.7, 27.2, 88682, 40774, 69398, 72270, 30811, 54649, 650790, 798923
Kansas, KS, 182049, 499895, 602750, 593801, 9.7, 26.6, 32.1, 31.6, 89979, 42371, 72269, 70711, 31546, 54762, 414788, 656009
Kentucky, KY, 456180, 990322, 849406, 674165, 15.4, 33.3, 28.6, 22.7, 76499, 36443, 61906, 59003, 25547, 45630, 628834, 1202942
Louisiana, LA, 496210, 1038591, 827303, 703875, 16.2, 33.9, 27.0, 23.0, 79831, 40250, 66711, 60064, 27097, 47748, 779535, 1178004
Maine, ME, 77305, 317373, 281818, 280570, 8.1, 33.2, 29.4, 29.3, 83796, 41257, 66736, 67340, 29714, 51521, 354873, 334838
Maryland, MD, 420756, 1030305, 1044867, 1556711, 10.4, 25.4, 25.8, 38.4, 120839, 62975, 101552, 95597, 48288, 78079, 1497951, 873646
Massachusetts, MA, 462385, 1167098, 1103708, 1916806, 9.9, 25.1, 23.7, 41.2, 121984, 59079, 96229, 94110, 41560, 71289, 1964768, 1083069
Michigan, MI, 676467, 1978662, 2195954, 1831798, 10.1, 29.6, 32.9, 27.4, 86137, 41613, 69031, 66653, 30300, 51806, 2268193, 2279805
Minnesota, MN, 270121, 940315, 1197761, 1253937, 7.4, 25.7, 32.7, 34.2, 104103, 49009, 81690, 82785, 36659, 63250, 1366676, 1322891
Mississippi, MS, 332266, 593422, 614104, 409891, 17.0, 30.4, 31.5, 21.0, 68673, 34394, 57948, 52689, 22951, 41564, 462001, 678457
Missouri, MO, 454882, 1267813, 1225017, 1125665, 11.2, 31.1, 30.1, 27.6, 83724, 40909, 67820, 64776, 29722, 50631, 1054889, 1585753
Montana, MT, 49627, 207929, 231806, 209072, 7.1, 29.8, 33.2, 29.9, 83860, 38947, 63717, 65843, 28891, 48645, 174521, 274120
Nebraska, NE, 113944, 330629, 411872, 366783, 9.3, 27.0, 33.7, 30.0, 89487, 41740, 70573, 72191, 31359, 54889, 273858, 485819
